text,meta
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > অনলাইনে স্মার্ট কার্ড চেক > স্মার্ট কার্ড তৈরি হয়েছে কি না অনলাইনে চেক করবে কীভাবে? আপনার স্মার্ট কার্ডটি হয়েছে কি না এটা খুব সহজেই ঘরে বসেই আপনি জেনে নিতে পারবেন। এক্ষেত্রে স্মার্ট কার্ড অনলাইনে চেক করার জন্য যে সকল নির্দেশনা অনুসরণ করতে হবে– ক) স্মার্ট কার্ড স্ট্যাটাস চেক করার জন্য প্রথমেই সার্ভিসেস ডট এন আই ডি ডব্লিউ ডট গভ ডট বিডি অথবা এন আই ডি হাইফেন পি ইউ বি স্ল্যাশ কার্ড হাইফেন স্ট্যাটাস (https://services.nidw.gov.bd/nid-pub/card-status/) ওয়েবসাইট ভিজিট করুন। খ) আপনার এন আই ডি নাম্বার (NID Number) অথবা ভোটার স্লিপ নাম্বার (Voter Slip Number) লিখুন। উল্লেখ্য, ভোটার স্লিপ নাম্বারটিই ফর্ম নাম্বার হিসেবে বিবেচিত হয়। গ) দ্বিতীয় বক্সে আপনার জন্ম তারিখ দিন-মাস-বছর ফর্ম্যাটে লিখুন। ঘ) এবার, ক্যাপচা কোডটি লিখুন এবং সাবমিট বাটনে ক্লিক করে স্মার্ট পরিচয়পত্র যাচাই (smart nid card check) করতে পারবেন। এভাবে করে অনেক সহজে আপনার স্মার্ট আইডি কার্ড হয়েছে কিনা তা অনলাইন থেকে যাচাই করে নিতে পারবেন। গুরুত্বপূর্ণ বিষয়: যদি 'স্মার্ট কার্ডের কোনো তথ্য পাওয়া যায়নি' লেখা আসে, তার মানে আপনার স্মার্ট কার্ড এখনও প্রিন্ট হয়নি। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service:  অনলাইনে স্মার্ট কার্ড চেক | topic: স্মার্ট কার্ড তৈরি হয়েছে কি না অনলাইনে চেক করবে কীভাবে?
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > নতুন এনআইডি কার্ড চেক করার ধাপ > নতুন এনআইডি কার্ড চেক করার ধাপসমূহ নতুন এনআইডি কার্ড বা স্মার্ট কার্ড চেক করার জন্য নিম্নোক্ত ধাপগুলো অনুসরণ করতে হবে– ১। প্রথমে ভিজিট করতে হবে সার্ভিসেস ডট এন আই ডি ডব্লিউ ডট গভ ডট বিডি (//services.nidw.gov.bd/nid-pub/claim-account) ওয়েবসাইটে। ২। এরপর, ফর্ম নম্বর (যা সাধারণত এসএমএসে বা ফর্ম পূরণের সময় দেওয়া হয়েছিল) এবং জন্ম তারিখ লিখতে হবে। NIDFN লিখুন এবং স্পেস ছাড়া ফর্ম নাম্বার লিখুন উদা: NIDFN1234567। ৩। এভাবে পূরণ করতে হবে এবং সাবমিট বাটনে ক্লিক করতে হবে। ৪। স্থায়ী ও বর্তমান ঠিকানা নির্বাচন করে মোবাইল নাম্বার ভেরিফিকেশন সম্পন্ন করতে হবে। ৫। এখন, এনআইডি ওয়ালেট (NID Wallet) অ্যাপ দিয়ে ফেস ভেরিফিকেশন সম্পন্ন করে অ্যাকাউন্টের পাসওয়ার্ড সেট করতে হবে। ৬। এরপর, আপনার এন আই ডি কার্ড চেক (NID Card Check) করা যাবে এবং চাইলে ভোটার আইডি কার্ড ডাউনলোড করা যাবে। উপরিউক্ত ধাপগুলো অনুসরণ করার মাধ্যমে অনেক সহজেই ফর্ম নাম্বার দিয়ে নতুন ভোটার আইডি কার্ড চেক করতে পারবেন এবং ভোটার আইডি কার্ড হয়েছে কি না যাচাই করতে পারবেন। এছাড়াও আপনি চাইলে ভোটার আইডি কার্ড ডাউনলোড করতে পারবেন। (জাতীয় পরিচয়পত্র ডাউনলোড করতে এনআইডি কার্ড ডাউনলোড করার সম্পূর্ণ পদ্ধতি ছবিসহ পোস্টটি চেক করতে পারেন।) গুরুত্বপূর্ণ বিষয়: যদি 'স্মার্ট কার্ডের কোনো তথ্য পাওয়া যায়নি' লেখা আসে, তার মানে আপনার স্মার্ট কার্ড এখনও প্রিন্ট হয়নি। নতুন এনআইডি কার্ড এসএমএস-এর মাধ্যমে চেক করার জন্য নিম্নোক্ত ধাপগুলো অনুসরণ করতে হবে– এসএমএস এর মাধ্যমে চেক করার ধাপসমূহ: - আপনার ফোনের মেসেজ অপশনে যান। - একটি নতুন মেসেজ লিখুন: NID <স্পেস> এনআইডি নম্বর <স্পেস> জন্ম তারিখ (dd/mm/yyyy)। উদাহরণ: যদি আপনার আইডি নম্বর 1234567890123 এবং জন্ম তারিখ 15-08-1995 হয়, তাহলে মেসেজ লিখবেন: NID 1234567890123 15/08/1995। - এই মেসেজটি 105 নম্বরে সেন্ড করুন। - কিছুক্ষণের মধ্যেই আপনি একটি ফিরতি মেসেজ পাবেন, যেখানে আপনার স্মার্ট কার্ড বিতরণের তথ্য জানানো হবে। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: নতুন এনআইডি কার্ড চেক করার ধাপ | topic: নতুন এনআইডি কার্ড চেক করার ধাপসমূহ
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > এসএমএস-ের মাধ্যমে ফর্ম নাম্বার দিয়ে স্মার্ট এনআইডি কার্ড বের করা > এসএমএস-এর মাধ্যমে ফর্ম নাম্বার দিয়ে স্মার্ট কার্ড চেক করতে হয় কীভাবে? অনলাইনের পাশাপাশি মোবাইল থেকেও খুব সহজে এসএমএস পাঠিয়ে স্মার্ট কার্ডের স্ট্যাটাস জেনে নেওয়া যায়। মাত্র একটি ম্যাসেজ পাঠালেই ফিরতি উত্তরে যে কেউ জানতে পারবে স্মার্ট এনআইডি কার্ড প্রস্তুত হয়েছে কি না। এসএমএস-এর মাধ্যমে চেক করার ধাপসমূহ: - আপনার ফোনের মেসেজ অপশনে যান। - একটি নতুন মেসেজ লিখুন: NID <স্পেস> এনআইডি নম্বর <স্পেস> জন্ম তারিখ (dd/mm/yyyy)। উদাহরণ: যদি আপনার আইডি নম্বর 1234567890123 এবং জন্ম তারিখ 15-08-1995 হয়, তাহলে মেসেজ লিখবেন: এনআইডি NID 1234567890123 15/08/1995। - এই মেসেজটি ১০৫ নম্বরে সেন্ড করুন। - কিছুক্ষণের মধ্যেই আপনি একটি ফিরতি মেসেজ পাবেন, যেখানে আপনার স্মার্ট কার্ড বিতরণের তথ্য জানানো হবে। ফর্ম নাম্বার দিয়ে স্মার্ট স্মার্ট কার্ডের সর্বশেষ অবস্থা জানতে আপনার মোবাইল ফোন থেকে যেকোনো অপারেটরের মাধ্যমে 105 নম্বরে SC NID <আপনার ফর্ম নম্বর> লিখে মেসেজ পাঠান। ফিরতি মেসেজে স্মার্ট কার্ড সম্পর্কিত তথ্য যেমন, কার্ড প্রিন্ট হয়েছে কি না বা কখন সংগ্রহ করা যাবে, তা জানতে পারবেন। পদ্ধতি: - আপনার মোবাইলের মেসেজ অপশনে যান। - একটি নতুন মেসেজ তৈরি করুন। - মেসেজের বডিতে লিখুন SC NID <আপনার ফর্ম নম্বর>। উদাহরণস্বরূপ: SC NID 19854792105095124। - এই মেসেজটি 105 নম্বরে সেন্ড করুন। - কিছুক্ষণের মধ্যেই আপনি একটি ফিরতি মেসেজ পাবেন, যেখানে আপনার স্মার্ট কার্ডের বর্তমান অবস্থা জানানো হবে। গুরুত্বপূর্ণ তথ্য: যদি ফিরতি মেসেজে 'স্মার্ট কার্ডের কোনো তথ্য পাওয়া যায়নি' লেখাটি আসে, তাহলে বুঝতে হবে আপনার স্মার্ট কার্ডটি এখনও প্রিন্ট হয়নি এবং আপনাকে অপেক্ষা করতে হবে। যদি আপনার স্মার্ট কার্ডটি প্রিন্ট হয়ে থাকে, তাহলে ফিরতি মেসেজে আপনাকে কার্ডের বক্স নম্বর ও কম্পার্টমেন্ট নম্বর জানানো হতে পারে, যা দিয়ে আপনি আপনার কার্ড সংগ্রহ করতে পারবেন। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: এসএমএস-ের মাধ্যমে ফর্ম নাম্বার দিয়ে স্মার্ট এনআইডি কার্ড বের করা | topic: এসএমএস-এর মাধ্যমে ফর্ম নাম্বার দিয়ে স্মার্ট কার্ড চেক করতে হয় কীভাবে?
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > ফর্ম নাম্বার দিয়ে এসএমএস-মাধ্যমে স্মার্ট কার্ডের সর্বশেষ অবস্থা যাচাই > ফর্ম নাম্বার দিয়ে এসএমএস-এর মাধ্যমে স্মার্ট কার্ডের সর্বশেষ অবস্থা যাচাই স্মার্ট কার্ডের সর্বশেষ অবস্থা জানতে আপনার মোবাইল ফোন থেকে যেকোনো অপারেটরের মাধ্যমে 105 নম্বরে SC NID <আপনার ফর্ম নম্বর> লিখে মেসেজ পাঠান। ফিরতি মেসেজে স্মার্ট কার্ড সম্পর্কিত তথ্য যেমন, কার্ড প্রিন্ট হয়েছে কি না বা কখন সংগ্রহ করা যাবে, তা জানতে পারবেন। পদ্ধতি: - আপনার মোবাইলের মেসেজ অপশনে যান। - একটি নতুন মেসেজ তৈরি করুন। - মেসেজের বডিতে লিখুন SC NID <আপনার ফর্ম নম্বর>। উদাহরণস্বরূপ: SC NID 19854792105095124। - এই মেসেজটি 105 নম্বরে সেন্ড করুন। - কিছুক্ষণের মধ্যেই আপনি একটি ফিরতি মেসেজ পাবেন, যেখানে আপনার স্মার্ট কার্ডের বর্তমান অবস্থা জানানো হবে। গুরুত্বপূর্ণ তথ্য: যদি ফিরতি মেসেজে 'স্মার্ট কার্ডের কোনো তথ্য পাওয়া যায়নি' লেখাটি আসে, তাহলে বুঝতে হবে আপনার স্মার্ট কার্ডটি এখনও প্রিন্ট হয়নি এবং আপনাকে অপেক্ষা করতে হবে। যদি আপনার স্মার্ট কার্ডটি প্রিন্ট হয়ে থাকে, তাহলে ফিরতি মেসেজে আপনাকে কার্ডের বক্স নম্বর ও কম্পার্টমেন্ট নম্বর জানানো হতে পারে, যা দিয়ে আপনি আপনার কার্ড সংগ্রহ করতে পারবেন। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: ফর্ম নাম্বার দিয়ে এসএমএস-মাধ্যমে স্মার্ট কার্ডের সর্বশেষ অবস্থা যাচাই  | topic: ফর্ম নাম্বার দিয়ে এসএমএস-এর মাধ্যমে স্মার্ট কার্ডের সর্বশেষ অবস্থা যাচাই
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > স্মার্ট কার্ড: ডাউনলোড > স্মার্ট কার্ড কীভাবে ডাউনলোড করা যায়? স্মার্ট কার্ড সরাসরি ডাউনলোড করা যায় না। স্মার্ট জাতীয় পরিচয়পত্র হাতে না পেলে অনলাইনে খুব সহজেই এনআইডির ডিজিটাল কপি ডাউনলোড করে ব্যবহার করা যায়, যা দিয়ে অধিকাংশ কাজই সম্পন্ন করা সম্ভব। এনআইডি বা national identity card এর ডিজিটাল কপি ডাউনলোড করার জন্য সার্ভিস ডট এনআইডি ডব্লিউ ডট গভ ডট বিডি (services.nidw.gov.bd/nid-pub/claim-account) ওয়েবসাইট ভিজিট করুন। এরপর, এন আই ডি নাম্বার (NID Number) বা ফর্ম নাম্বার (Form Number) লিখুন এবং জন্ম তারিখ লিখুন। অতঃপর, ক্যাপচা কোড পূরণ করে সাবমিট বাটনে ক্লিক করুন। এরপর, আপনার এনআইডি কার্ড হয়ে থাকলে অ্যাকাউন্ট রেজিস্ট্রেশন করতে বলবে। রেজিস্ট্রেশন করার জন্য বর্তমান এবং স্থায়ী ঠিকানা নির্বাচন করতে হবে। অতঃপর, মোবাইল নাম্বার ভেরিফিকেশন এবং ফেস ভেরিফিকেশন সম্পন্ন করতে হবে। এভাবেই অনলাইনে এনআইডির ডিজিটাল কপি ডাউনলোড করতে পারবেন অনেক সহজেই। তবে উল্লেখ্য যে স্মার্ট কার্ড ডাউনলোড করা বলতে এখানে এনআইডি কার্ডের অনলাইন কপি ডাউনলোড করা বুঝানো হয়েছে। স্মার্ট কার্ড প্রতি ইউনিয়ন/সিটি কর্পোরেশনে বিতরণ করা হয়ে থাকে। আপনাকে সেখানে থেকে সরাসরি সংগ্রহ করতে হবে। ততদিন অনলাইন কপি দিয়ে যেকোনোো কাজ করতে পারবেন। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: স্মার্ট কার্ড: ডাউনলোড | topic: স্মার্ট কার্ড কীভাবে ডাউনলোড করা যায়?
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > স্মার্ট কার্ড সংক্রান্ত বিষয়ে সাধারণ জিজ্ঞাসিত প্রশ্নাবলি > স্মার্ট কার্ডের জন্য কীভাবে আবেদন করতে হবে? স্মার্ট কার্ডের জন্য আবেদন করার কোনো পদ্ধতি নেই। নতুন ভোটার হওয়ার জন্য আবেদন করার মাধ্যমে ভোটার নিবন্ধন করতে পারবেন। এরপর, আপনার স্মার্ট এনআইডি হয়েছে কি না সেটি চেক করে দেখতে পারেন। তৈরি হলে ইউনিয়ন পরিষদ বা সিটি কর্পোরেশন থেকে বিতরণ করার সময় সংগ্রহ করতে পারবেন। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: স্মার্ট কার্ড সংক্রান্ত বিষয়ে সাধারণ জিজ্ঞাসিত প্রশ্নাবলি | topic: স্মার্ট কার্ডের জন্য কীভাবে আবেদন করতে হবে?
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > বিতরণকৃত স্মার্ট কার্ড সংগ্রহ > স্মার্ট কার্ড বিতরণ কবে শুরু হবে? দেশের বিভিন্ন জায়গায় স্মার্ট আইডি কার্ড বিতরণ করা হচ্ছে। আপনার স্মার্ট আইডি কার্ড তৈরি হলে, অপেক্ষা করতে হবে। যখন আপনার এলাকায় স্মার্ট আইডি কার্ড বিতরণ করা হবে, তখন সেটি সংগ্রহ করতে পারবেন। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: বিতরণকৃত স্মার্ট কার্ড সংগ্রহ | topic: স্মার্ট কার্ড বিতরণ কবে শুরু হবে?
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > স্মার্ট কার্ড না পেলে যা করতে হবে > স্মার্ট কার্ড না পেলে কী করতে হবে? আপনি যদি নতুন ভোটার হন, তাহলে স্মার্ট কার্ড পেতে কিছুটা সময় লাগবে। তবে, পুরাতন ভোটারদের ক্ষেত্রে স্মার্ট কার্ড না পেলে নির্বাচন কমিশন অফিসে পুরাতন ভোটার আইডি কার্ড নিয়ে যোগাযোগ করলে স্মার্ট কার্ড সংগ্রহ করা যাবে। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: স্মার্ট কার্ড না পেলে যা করতে হবে | topic: স্মার্ট কার্ড না পেলে কী করতে হবে?
স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > স্মার্ট কার্ড > স্মার্ট এনআইডি কার্ড যেভাবে বের করা যায় > স্মার্ট এনআইডি কার্ড (Smart nid card) কীভাবে বের করা যায়? যারা ভোটার হয়েছেন কিন্তু এখনো স্মার্ট এনআইডি কার্ড পাননি তারা স্মার্ট এনআইডি কার্ড স্ট্যাটাস চেক করার এসসি এফ(SC F) লেখার পর একটি স্পেস দিয়ে ভোটার স্লিপ নাম্বার এবং ডি(D) লেখার পর একটি স্পেস দিয়ে ডেট - মান্থ - ইয়ার (DD-MM-YYYY) ফর্ম্যাটে জন্ম তারিখ লিখে ১০৫ নাম্বারে ম্যাসেজ সেন্ড করুন। https://services.nidw.gov.bd/nid-pub/ https://www.ecs.gov.bd/category/smart-card-and-voter-list,category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: স্মার্ট কার্ড | service: স্মার্ট এনআইডি কার্ড যেভাবে বের করা যায় | topic: স্মার্ট এনআইডি কার্ড (Smart nid card) কীভাবে বের করা যায়?
"স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র > জাতীয় পরিচয়পত্র > ভোটার নিবন্ধন হলেও জাতীয় পরিচয়পত্র না পেলে করণীয় > ভোটার নিবন্ধন হয়েছে কিন্তু জাতীয় পরিচয়পত্র পায়নি। কী করতে হবে? আপনারা যারা ভোটার হিসাবে নিবন্ধিত হয়েছেন কিন্তু জাতীয় পরিচয়পত্র নম্বর পাননি তারা এনআইডি কার্ডের অনলাইন কপি ডাউনলোড করার জন্য সার্ভিস ডট এনআইডি ডব্লিউ ডট গভ ডট বিডি (services.nidw.gov.bd/nid-pub/claim-account) ওয়েবসাইট ভিজিট করুন। এরপর, এন আই ডি নাম্বার (NID Number) বা ফর্ম নাম্বার (Form Number) লিখুন এবং জন্ম তারিখ লিখুন। অতঃপর, ক্যাপচা কোড পূরণ করে সাবমিট বাটনে ক্লিক করুন। এরপর, আপনার এনআইডি কার্ড হয়ে থাকলে অ্যাকাউন্ট রেজিস্ট্রেশন করতে বলবে। রেজিস্ট্রেশন করার জন্য বর্তমান এবং স্থায়ী ঠিকানা নির্বাচন করতে হবে। অতঃপর, মোবাইল নাম্বার ভেরিফিকেশন এবং ফেস ভেরিফিকেশন সম্পন্ন করতে হবে। তাহলেই অনলাইনে স্মার্ট কার্ডের অনলাইন কপি ডাউনলোড করতে পারবেন। এছাড়া জাতীয় পরিচয়পত্র বিতরণ কেন্দ্রগুলোতে এনআইডি কার্ড বিতরণের একটি নির্দিষ্ট সময়সূচী থাকে। আপনার এলাকার জন্য নির্ধারিত তারিখ ও সময়সূচী জানতে বাংলাদেশ নির্বাচন কমিশন এর ওয়েবসাইট দেখুন বা সরাসরি নির্বাচন অফিসে যোগাযোগ করুন। নির্ধারিত তারিখে ফিয়ে আপনার কার্ড সংগ্রহ করুন। যদি আপনি নির্ধারিত তারিখ ও সময়েও আপনার কার্ড না পান, তাহলে সংশ্লিষ্ট উপজেলা/থানা/জেলা নির্বাচন অফিসে যোগাযোগ করুন এবং আপনার সমস্যাটি খুলে বলুন। https://services.nidw.gov.bd/nid-pub/faq?tab=faq-register",category: স্মার্ট কার্ড ও জাতীয়পরিচয়পত্র | sub_category: জাতীয় পরিচয়পত্র | service: ভোটার নিবন্ধন হলেও জাতীয় পরিচয়পত্র না পেলে করণীয় | topic: ভোটার নিবন্ধন হয়েছে কিন্তু জাতীয় পরিচয়পত্র পায়নি। কী করতে হবে?
